,evenement_name,evenement_date,evenement_url,latitude,longitude
0,Conférence: La violence de couple ne connaît pas de date de péremption,2024-11-26 10:00:00,https://www.geneve.ch/agenda/conference-violence-couple-connait-date-peremption,46.215143441887,6.146946881275
1,"Alphonse de Candolle, le digne successeur d'Augustin-Pyramus",2024-11-26 12:30:00,https://www.geneve.ch/agenda/alphonse-candolle-digne-successeur-augustin-pyramus,46.227644199456,6.1467177718453
3,Jeanne Added x L’Orchestre de Chambre de Genève,2024-11-26 19:30:00,https://www.geneve.ch/agenda/jeanne-added-orchestre-chambre-geneve,46.201527070797,6.1414083661396
6,"Cours de Pilates ""Prendre de la hauteur""",2024-11-26 12:30:00,https://www.geneve.ch/agenda/cours-pilates-prendre-hauteur,46.199363671283,6.151641577634
7,Conférence avec Jean-Baptiste Fressoz,2024-11-26 18:30:00,https://www.geneve.ch/agenda/conference-jean-baptiste-fressoz,46.220823063195,6.1436075333446
9,Atelier Fresque de l'Economie Circulaire / Mission Genève Durable,2024-11-26 18:30:00,https://www.geneve.ch/agenda/atelier-fresque-economie-circulaire-mission-geneve-durable,46.209797488029,6.1173843225886
10,Polyglots - Spectacle d'improvisation multilingue,2024-11-26 20:00:00,https://www.geneve.ch/agenda/polyglots-spectacle-improvisation-multilingue,46.19454516359,6.143385785934
13,Plouf ! Des histoires pour se jeter à l'eau,2024-11-27 10:30:00,https://www.geneve.ch/agenda/plouf-histoires-jeter-eau-0,46.2048611094,6.1620058224067
14,Comment nous souvenons-nous ?,2024-11-27 14:00:00,https://www.geneve.ch/agenda/souvenons,46.215143441887,6.146946881275
15,TONY ANN,2024-11-26 20:00:00,https://www.geneve.ch/agenda/tony,46.202774044557,6.1464495823592
17,Chasse aux animaux,2024-11-27 10:30:00,https://www.geneve.ch/agenda/chasse-animaux-1,46.199363671283,6.151641577634
18,"Stand Mode Durable : ""La Mode en Conscience""",2024-11-27 10:00:00,https://www.geneve.ch/agenda/stand-mode-durable-mode-conscience,46.194738720966,6.1403392492541
19,Atelier cosmétique enfants: fabrication Savon de Noël,2024-11-27 14:30:00,https://www.geneve.ch/agenda/atelier-cosmetique-enfants-fabrication-savon-noel,46.204030554538,6.1618646092152
20,Où est passée Madame Tavel?,2024-11-27 15:00:00,https://www.geneve.ch/agenda/passee-madame-tavel,46.201382099524,6.1471295365869
22,"Les poissons du Léman, un atelier pour découvrir, admirer et dessiner",2024-11-27 16:00:00,https://www.geneve.ch/agenda/poissons-leman-atelier-decouvrir-admirer-dessiner,46.2048611094,6.1620058224067
23,AMAZONIA : Coeur de la terre mère,2024-11-27 18:15:00,https://www.geneve.ch/agenda/amazonia-coeur-terre-mere,46.194738720966,6.1403392492541
25,Complet - Passionnantes expériences de biologie moléculaire,2024-11-27 14:00:00,https://www.geneve.ch/agenda/passionnantes-experiences-biologie-moleculaire,46.227644199456,6.1467177718453
26,Les poissons du Léman,2024-11-27 16:00:00,https://www.geneve.ch/agenda/poissons-leman,46.2048611094,6.1620058224067
28,RENCONTRE et SÉANCE SPÉCIALE: 🏠BRUNAUPARK (2023) de Felix Hergert & Dominik Zietlow!,2024-11-27 18:00:00,https://www.geneve.ch/agenda/rencontre-seance-speciale-brunaupark-2023-felix-hergert-dominik-zietlow,46.201100266264,6.141703889754
29,Prix IDDEA 2024 : Soirée de Gala,2024-11-27 17:45:00,https://www.geneve.ch/agenda/prix-iddea-2024-soiree-gala,46.194013976621,6.1435049001185
